RF00001,1qvg,9,1,121,77.4,2.90E-17,1,119,c0af92,1
RF00001,4u4q,3,1,121,88.8,3.30E-20,1,119,c0af92,1
RF00001,4v9i,DB,3,119,100.7,2.70E-23,1,119,c0af92,1
RF00001,5fdv,2B,3,119,100.7,2.80E-23,1,119,c0af92,1
RF00001,6r6p,7,1,119,118.9,5.30E-28,1,119,c0af92,1
RF00001,7p7t,B,1,116,83.5,7.30E-19,1,119,c0af92,1
RF00001,8cku,BB,1,121,88.8,3.30E-20,1,119,c0af92,1
RF00001,8g38,A,2,117,77.2,3.20E-17,1,119,c0af92,1
RF00001,8urh,d,3,118,77.2,3.20E-17,1,119,c0af92,1
RF02541,1q7y,A,2,2920,1740.4,0,1,2925,c0af92,0
RF02541,4u1v,DA,1,2903,2882.1,0,1,2925,c0af92,1
RF02541,4v7y,DA,1,2784,2566.8,0,1,2925,c0af92,1
RF02541,5j8a,DA,1,2904,2883.8,0,1,2925,c0af92,1
RF02541,6lkq,t,1,2903,2882.1,0,1,2925,c0af92,1
RF02541,6q97,1,1,2903,2879.7,0,1,2925,c0af92,1
RF02541,6zme,L5,1277,4818,599,1.80E-197,1,2923,c0af92,0
RF02541,6zme,L5,5,420,123.7,3.10E-38,30,555,c0af92,0
RF02541,8ifd,1A,1277,4822,598,4.00E-197,1,2923,c0af92,0
RF02541,8ifd,1A,5,420,123.7,3.10E-38,30,555,c0af92,0
RF02541,8oj8,5,1277,4822,598.2,3.60E-197,1,2923,c0af92,0
RF02541,8oj8,5,5,420,123.7,3.10E-38,30,555,c0af92,0
RF02543,1q7y,A,131,2914,1469.1,0,1,3401,c0af92,0
RF02543,4u1v,DA,160,2893,1270.5,0,1,3401,c0af92,0
RF02543,4v7y,DA,147,2773,1086.7,1.50E-296,1,3401,c0af92,0
RF02543,5j8a,DA,160,2893,1263.1,0,1,3401,c0af92,0
RF02543,6lkq,t,160,2893,1270.5,0,1,3401,c0af92,0
RF02543,6q97,1,160,2893,1267.9,0,1,3401,c0af92,0
RF02543,6zme,L5,3,5065,2382.7,0,1,3401,c0af92,1
RF02543,8ifd,1A,3,5069,2379.5,0,1,3401,c0af92,1
RF02543,8oj8,5,3,5069,2381.8,0,1,3401,c0af92,1
RF00001,4csu,A,2,117,77.2,3.20E-17,1,119,c0af92,1
RF00001,4u27,BB,3,118,77.2,3.20E-17,1,119,c0af92,1
